variant,requests,apiSuccess,valid,meanMs,p50Ms,p95Ms,promptTokens,outputTokens,thoughtsTokens,totalTokens,tagMatchRate,tagMatchCount,tagMatchDenominator,straightLineKm,straightLineKmDenominator,customRate,customCount,customDenominator,constraintDenominator,compliance_item_count,compliance_travel_window,compliance_existing_overlap,compliance_generated_overlap,compliance_duration,compliance_title,compliance_unknown_place,compliance_duplicate_place,compliance_time_format,compliance_invalid_item,compliance_empty_or_invalid_items,compliance_finish_reason
baseline,60,60,39,1398.77,1393.72,1611.04,28278,9874,0,38152,0.4857,85,175,6.5092,57,0.0,0,175,60,1.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0
minimal,60,60,60,1382.33,1337.34,1642.49,57909,8671,0,66580,0.2897,42,145,1.0357,57,0.0523,8,153,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
low,60,60,60,1411.82,1416.18,1644.5,57909,8884,0,66793,0.2867,43,150,1.0275,57,0.0385,6,156,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
