variant,requests,apiSuccess,valid,meanMs,p50Ms,p95Ms,promptTokens,outputTokens,thoughtsTokens,totalTokens,tagMatchRate,tagMatchCount,tagMatchDenominator,straightLineKm,straightLineKmDenominator,customRate,customCount,customDenominator,constraintDenominator,compliance_item_count,compliance_travel_window,compliance_existing_overlap,compliance_generated_overlap,compliance_duration,compliance_title,compliance_unknown_place,compliance_duplicate_place,compliance_time_format,compliance_invalid_item,compliance_empty_or_invalid_items,compliance_finish_reason
baseline,1,1,1,1308.17,1308.17,1308.17,490,168,0,658,0.3333,1,3,0.5275,1,0.0,0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minimal,1,1,1,1264.78,1264.78,1264.78,1009,117,0,1126,0.0,0,2,0.4805,1,0.0,0,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
low,1,1,1,1562.22,1562.22,1562.22,1009,169,0,1178,0.3333,1,3,0.9815,1,0.0,0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
